Updated On,State,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Cumulative People In Quarantine,Total People Currently in Quarantine,Tag (People in Quarantine),Total People Released From Quarantine,Num Isolation Beds,Num ICU Beds,Num Ventilators,Corona Enquiry Calls,Num Calls State Helpline,Source1,...18,Source2,Test positivity rate,Tests per thousand,Tests per million,Tests per positive case,Population NCP 2019 Projection
03/05/2020,Ladakh,2434,Samples Collected,41,1674,647,NA,714,Facility,NA,137,NA,NA,NA,NA,https://mobile.twitter.com/ladags/status/1256820308763238401,NA,NA,1.68%,6.13,6131,59,293000
04/05/2020,Ladakh,2639,Samples Collected,41,1879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/ladags/status/1257326758518349825?s=19,NA,NA,1.55%,6.65,6647,64,293000
09/05/2020,Ladakh,3503,Samples Collected,42,2948,438,NA,580,Facility,NA,137,NA,NA,NA,NA,https://twitter.com/ladags/status/1259176362931367943?s=19,NA,NA,1.20%,8.82,8824,83,293000
13/05/2020,Ladakh,3683,Samples Collected,43,3353,211,NA,337,Facility,NA,137,NA,NA,NA,NA,https://mobile.twitter.com/ladags/status/1260600445707288582?s=19,NA,NA,1.17%,9.28,9277,86,293000
16/05/2020,Ladakh,4067,Samples Collected,43,3571,371,NA,458,Facility,NA,137,NA,NA,NA,NA,https://twitter.com/ladags/status/1261672874210766850?s=19,NA,https://t.me/indiacovid/4884?single,1.06%,10.24,10244,95,293000
18/05/2020,Ladakh,4219,Samples Collected,43,3791,303,NA,454,Facility,NA,137,NA,NA,NA,NA,https://twitter.com/ladags/status/1262392950702702595,NA,NA,1.02%,10.63,10627,98,293000
19/05/2020,Ladakh,4730,Samples Collected,43,3935,665,NA,739,Facility,NA,137,NA,NA,NA,NA,https://twitter.com/ladags/status/1262796538440540167,NA,NA,0.91%,11.91,11914,110,293000
21/05/2020,Ladakh,5291,Samples Collected,44,4081,1079,NA,655,Facility,NA,137,NA,NA,NA,NA,https://twitter.com/ladags/status/1263406197928980480,NA,NA,0.83%,13.33,13327,120,293000
22/05/2020,Ladakh,5505,Samples Collected,44,4173,1201,NA,648,Facility,NA,137,NA,NA,NA,NA,https://twitter.com/ladags/status/1263763741599952896,NA,https://t.me/indiacovid/5317,NA,NA,NA,NA,NA
23/05/2020,Ladakh,5727,Samples Collected,49,4505,1083,NA,648,Facility,NA,NA,NA,NA,NA,NA,https://twitter.com/ladags/status/1264134154263752704?s=19,NA,https://t.me/indiacovid/5372?single,NA,NA,NA,NA,NA
05/04/2020,Madhya Pradesh,2812,Samples Collected,193,1954,665,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/JansamparkMP/status/1246841187073273857,NA,NA,6.86%,7.08,7083,15,82232000
07/04/2020,Madhya Pradesh,3770,Tested,290,3125,355,NA,NA,NA,NA,9492,1598,993,NA,NA,https://twitter.com/JansamparkMP/status/1247554866043473920,NA,NA,7.69%,9.5,9496,13,82232000
08/04/2020,Madhya Pradesh,4056,Tested,341,3443,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/JansamparkMP/status/1247907281703862272/photo/2,NA,NA,8.41%,10.22,10217,12,82232000
09/04/2020,Madhya Pradesh,5135,Tested,411,3989,NA,NA,NA,NA,NA,9492,1598,993,NA,NA,https://twitter.com/JansamparkMP/status/1248269831876382720?s=20,NA,NA,8.00%,12.93,12935,12,82232000
10/04/2020,Madhya Pradesh,7049,Tested,451,4840,NA,NA,NA,NA,NA,9492,1598,993,NA,NA,https://twitter.com/JansamparkMP/status/1248611777526394885?s=19,NA,NA,6.40%,17.76,17756,16,82232000
11/04/2020,Madhya Pradesh,8516,Tested,529,5790,NA,NA,NA,NA,NA,9492,1598,993,NA,NA,https://twitter.com/JansamparkMP/status/1249002767026274304?s=19,NA,NA,6.21%,21.45,21451,16,82232000
12/04/2020,Madhya Pradesh,10481,Tested,562,6875,NA,NA,NA,NA,NA,9492,1598,993,NA,NA,https://twitter.com/JansamparkMP/status/1249287199687716864?s=19,NA,NA,5.36%,26.4,26401,19,82232000
13/04/2020,Madhya Pradesh,10481,Tested,614,6875,NA,NA,NA,NA,NA,16868,716,622,NA,548464,https://www.google.com/url?q=https://twitter.com/JansamparkMP/status/1249707440288878592?s%3D19&sa=D&ust=1586894104440000&usg=AFQjCNESb6V_VO9Qoh8zQT0BFeSThzRGJg,NA,NA,5.86%,26.4,26401,17,82232000
14/04/2020,Madhya Pradesh,8105,Reports Received,741,7103,4835,NA,NA,NA,NA,20243,783,690,NA,578780,https://twitter.com/JansamparkMP/status/1250071572779601920?s=09,NA,NA,9.14%,20.42,20416,11,82232000
15/04/2020,Madhya Pradesh,9596,Reports Received,938,8658,4501,NA,NA,NA,NA,29355,840,690,NA,607324,https://twitter.com/JansamparkMP/status/1250441930896334852?s=09,NA,NA,9.77%,24.17,24171,10,82232000
16/04/2020,Madhya Pradesh,13492,Reports Received,1164,12326,4158,NA,NA,NA,NA,NA,NA,NA,NA,637288,https://twitter.com/JansamparkMP/status/1250813847650177024,NA,NA,8.63%,33.98,33985,12,82232000
17/04/2020,Madhya Pradesh,15302,Reports Received,1310,13992,4996,NA,NA,NA,NA,NA,NA,NA,NA,668994,https://twitter.com/JansamparkMP/status/1251155692213334018,NA,NA,8.56%,38.54,38544,12,82232000
18/04/2020,Madhya Pradesh,14978,Reports Received,1402,13576,7251,NA,NA,NA,NA,NA,NA,NA,NA,698326,https://twitter.com/JansamparkMP/status/1251528687935057920/photo/1,NA,NA,9.36%,37.73,37728,11,82232000
19/04/2020,Madhya Pradesh,17835,Reports Received,1407,16428,7054,NA,NA,NA,NA,20243,783,690,NA,726490,https://twitter.com/JansamparkMP/status/1251866633360093184/photo/2,NA,NA,7.89%,44.92,44924,13,82232000
20/04/2020,Madhya Pradesh,19142,Reports Received,1485,17657,8519,NA,NA,NA,NA,33514,865,592,NA,752852,https://twitter.com/JansamparkMP/status/1252220621112647683/photo/2,NA,NA,7.76%,48.22,48217,13,82232000
21/04/2020,Madhya Pradesh,20905,Reports Received,1552,19353,8215,NA,NA,NA,NA,NA,NA,NA,NA,781338,https://twitter.com/JansamparkMP/status/1252572205768114178/photo/1,NA,NA,7.42%,52.66,52657,13,82232000
22/04/2020,Madhya Pradesh,22664,Reports Received,1587,21077,8414,NA,NA,NA,NA,NA,NA,NA,NA,808177,https://twitter.com/JansamparkMP/status/1252908046629691392/photo/1,NA,NA,7.00%,57.09,57088,14,82232000
23/04/2020,Madhya Pradesh,24548,Reports Received,1687,22861,8526,NA,NA,NA,NA,NA,NA,NA,NA,836495,https://twitter.com/JansamparkMP/status/1253294536438284288?s=09,NA,NA,6.87%,61.83,61834,15,82232000
24/04/2020,Madhya Pradesh,26233,Reports Received,1846,24387,8843,NA,NA,NA,NA,33514,865,592,NA,876840,https://twitter.com/JansamparkMP/status/1253649153525153792?s=19,NA,NA,7.04%,66.08,66078,14,82232000
25/04/2020,Madhya Pradesh,27866,Reports Received,1945,25921,9021,NA,NA,NA,NA,33514,865,592,NA,918227,https://twitter.com/JansamparkMP/status/1254034656330240001,NA,NA,6.98%,70.19,70191,14,82232000
26/04/2020,Madhya Pradesh,25232,Reports Received,2090,21716,NA,NA,NA,NA,NA,33514,865,592,NA,961106,https://www.mpinfo.org/MPinfoStatic/other_updates/Health-Bulletin-26April2020.pdf,NA,https://t.me/indiacovid/3261?single,8.28%,63.56,63557,12,82232000
27/04/2020,Madhya Pradesh,27009,Reports Received,2165,23500,NA,NA,NA,NA,NA,33514,865,592,NA,991950,https://www.mpinfo.org/MPinfoStatic/other_updates/Health-Bulletin-27April2020.pdf,NA,NA,8.02%,68.03,68033,12,82232000
28/04/2020,Madhya Pradesh,31060,Reports Received,2387,26159,NA,NA,NA,NA,NA,33514,865,592,NA,1024460,https://www.mpinfo.org/MPinfoStatic/other_updates/Health-Bulletin-28April2020.pdf,NA,NA,7.69%,78.24,78237,13,82232000
29/04/2020,Madhya Pradesh,33837,Reports Received,2560,29261,NA,NA,NA,NA,NA,33514,865,592,NA,1056896,https://twitter.com/JansamparkMP/status/1255502748377899009?s=09,NA,NA,7.57%,85.23,85232,13,82232000
30/04/2020,Madhya Pradesh,41712,Reports Received,2625,29816,NA,NA,NA,NA,NA,33514,865,592,NA,1089917,https://twitter.com/JansamparkMP/status/1255859565607952386/photo/1,NA,NA,6.29%,105.07,105068,16,82232000
01/05/2020,Madhya Pradesh,44116,Reports Received,2715,39353,NA,NA,NA,NA,NA,33514,865,592,NA,1122599,https://twitter.com/JansamparkMP/status/1256249293863882752/photo/1,NA,NA,6.15%,111.12,111123,16,82232000
02/05/2020,Madhya Pradesh,46578,Reports Received,2788,41460,NA,NA,NA,NA,NA,33514,865,592,NA,1147164,https://twitter.com/JansamparkMP/status/1256593893711372288?s=19,NA,NA,5.99%,117.32,117325,17,82232000
03/05/2020,Madhya Pradesh,49186,Reports Received,2837,43937,NA,NA,NA,NA,NA,34600,873,612,NA,1172185,https://mobile.twitter.com/JansamparkMP/status/1256969557522120705,NA,NA,5.77%,123.89,123894,17,82232000
04/05/2020,Madhya Pradesh,52095,Reports Received,2942,46634,NA,NA,NA,NA,NA,34600,873,558,NA,NA,https://twitter.com/JansamparkMP/status/1257349630339289089?s=19,NA,NA,5.65%,131.22,131222,18,82232000
05/05/2020,Madhya Pradesh,54595,Reports Received,3049,48931,NA,NA,NA,NA,NA,35840,873,558,NA,NA,https://twitter.com/JansamparkMP/status/1257679603717603329/photo/1,NA,NA,5.58%,137.52,137519,18,82232000
06/05/2020,Madhya Pradesh,54595,Reports Received,3138,51479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/JansamparkMP/status/1258045895779725312,NA,NA,5.75%,137.52,137519,17,82232000
07/05/2020,Madhya Pradesh,61020,Reports Received,3252,55002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/JansamparkMP/status/1258404394644766723?s=19,NA,NA,5.33%,153.7,153703,19,82232000
08/05/2020,Madhya Pradesh,63705,Reports Received,3341,57528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/JansamparkMP/status/1258773188110098432?s=19,NA,NA,5.24%,160.47,160466,19,82232000
09/05/2020,Madhya Pradesh,68010,Reports Received,3457,61629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/healthminmp/status/1259128463933538305?s=19,NA,NA,5.08%,171.31,171310,20,82232000
10/05/2020,Madhya Pradesh,72069,Reports Received,3614,65436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/healthminmp/status/1259492747590934529?s=19,NA,NA,5.01%,181.53,181534,20,82232000
11/05/2020,Madhya Pradesh,76039,Reports Received,3785,69187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/healthminmp/status/1259847116282892289/photo/2,NA,NA,4.98%,191.53,191534,20,82232000
12/05/2020,Madhya Pradesh,80885,Reports Received,3986,73761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/healthminmp/status/1260204355032096770,NA,NA,4.93%,203.74,203741,20,82232000
13/05/2020,Madhya Pradesh,85903,Reports Received,4173,77738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/healthminmp/status/1260561896341745664,NA,NA,4.86%,216.38,216380,21,82232000
14/05/2020,Madhya Pradesh,89760,Reports Received,4426,82028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/healthminmp/status/1260944708928442369?s=19,NA,NA,4.93%,226.1,226096,20,82232000
15/05/2020,Madhya Pradesh,93849,Reports Received,4595,85879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/healthminmp/status/1261288369738469376?s=09,NA,https://t.me/indiacovid/4804?single,4.90%,236.4,236395,20,82232000
16/05/2020,Madhya Pradesh,99677,Reports Received,4790,91393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/healthminmp/status/1261670035577323520?s=19,NA,https://t.me/indiacovid/4883?single,4.81%,251.08,251076,21,82232000
17/05/2020,Madhya Pradesh,103898,Reports Received,4977,95355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/healthminmp/status/1262035609348120577,NA,NA,4.79%,261.71,261708,21,82232000
18/05/2020,Madhya Pradesh,112168,Reports Received,5236,100469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/healthminmp/status/1262379250788765696,NA,NA,4.67%,282.54,282539,21,82232000
19/05/2020,Madhya Pradesh,116473,Reports Received,5465,104348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/healthminmp/status/1262740820844621824,NA,https://t.me/indiacovid/5115?single,4.69%,293.38,293383,21,82232000
20/05/2020,Madhya Pradesh,120737,Reports Received,5735,108744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/healthminmp/status/1263119544861765632?s=19,NA,https://t.me/indiacovid/5207?single,4.75%,304.12,304123,21,82232000
21/05/2020,Madhya Pradesh,125608,Reports Received,5981,112947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/JansamparkMP/status/1263482833420668928,NA,NA,4.76%,316.39,316393,21,82232000
22/05/2020,Madhya Pradesh,129060,Reports Received,6170,116835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/healthminmp/status/1263847987714891776,NA,https://t.me/indiacovid/5340?single,NA,NA,NA,NA,NA
05/04/2020,Maharashtra,16008,Tested,NA,14837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,40.32,40322,NA,122153000
06/04/2020,Maharashtra,17563,Tested,868,15808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.cnbctv18.com/healthcare/maharashtra-covid-19-tally-mounts-to-868-with-7-fresh-deaths-5634351.htm,NA,NA,4.94%,44.24,44239,20,122153000
07/04/2020,Maharashtra,20877,Tested,1018,19290,569,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://arogya.maharashtra.gov.in/pdf/covidepressnote07.pdf,NA,NA,4.88%,52.59,52587,21,122153000
09/04/2020,Maharashtra,20877,Tested,868,19290,715,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1248156898894811136,NA,https://drive.google.com/file/d/1InVpTI2sfv8N24YVOJVlVUMQ5Z-d8ZRq/view,4.16%,52.59,52587,24,122153000
10/04/2020,Maharashtra,30000,Tested,1135,28865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1248484537216065536,NA,https://drive.google.com/file/d/1EnHn3WjLO2EkLjDRiv7C_B44IY_1HuiX/view,3.78%,75.57,75567,26,122153000
11/04/2020,Maharashtra,31841,Tested,1761,30477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1248859409419132929?s=19,NA,https://phdmah.maps.arcgis.com/apps/opsdashboard/index.html#/2cc0055832264c5296890745e9ea415c,5.53%,80.2,80204,18,122153000
12/04/2020,Maharashtra,35668,Tested,1761,34094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1249210483812548608?s=19,NA,https://phdmah.maps.arcgis.com/apps/opsdashboard/index.html#/2cc0055832264c5296890745e9ea415c,4.94%,89.84,89844,20,122153000
13/04/2020,Maharashtra,39725,Tested,1996,37964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1249593448820125697,NA,https://phdmah.maps.arcgis.com/apps/opsdashboard/index.html#/2cc0055832264c5296890745e9ea415c,5.02%,100.06,100063,20,122153000
14/04/2020,Maharashtra,41071,Tested,2340,39089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1249943643357511680?s=19,NA,https://phdmah.maps.arcgis.com/apps/opsdashboard/index.html#/2cc0055832264c5296890745e9ea415c,5.70%,103.45,103453,18,122153000
15/04/2020,Maharashtra,45142,Tested,2690,42808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1250306461097320448,NA,https://drive.google.com/file/d/1ItKhc3Ch9ueTg3EsMmq0dlQTgPlt-l5a/view,5.96%,113.71,113708,17,122153000
16/04/2020,Maharashtra,50882,Tested,2916,48198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1250659519840968704,NA,NA,5.73%,128.17,128166,17,122153000
17/04/2020,Maharashtra,55678,Tested,3204,52762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1251045031869214720,NA,NA,5.75%,140.25,140247,17,122153000
18/04/2020,Maharashtra,60166,Tested,3323,56964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1251399078555947008,NA,NA,5.52%,151.55,151552,18,122153000
19/04/2020,Maharashtra,66796,Tested,3651,63476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1251760884512243714,NA,NA,5.47%,168.25,168252,18,122153000
20/04/2020,Maharashtra,71321,Tested,4204,67673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1252114391090130947,NA,NA,5.89%,179.65,179650,17,122153000
21/04/2020,Maharashtra,75838,Tested,4676,71638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1252467996393537536,NA,NA,6.17%,191.03,191028,16,122153000
22/04/2020,Maharashtra,82304,Tested,5229,77638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1252842842268950530,NA,NA,6.35%,207.31,207315,16,122153000
23/04/2020,Maharashtra,89197,Tested,5218,83979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1253199854890713089,NA,NA,5.85%,224.68,224678,17,122153000
24/04/2020,Maharashtra,95210,Tested,6427,89561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1253554384606298114?s=19,NA,NA,6.75%,239.82,239824,15,122153000
25/04/2020,Maharashtra,100912,Tested,6817,94485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1253930643949367296,NA,NA,6.76%,254.19,254186,15,122153000
26/04/2020,Maharashtra,107979,Tested,7928,101162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1254288768577818625,NA,NA,7.34%,271.99,271987,NA,122153000
27/04/2020,Maharashtra,115147,Tested,8068,107519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1254647537991991297,NA,NA,7.01%,290.04,290043,NA,122153000
28/04/2020,Maharashtra,120620,Tested,8590,112552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1255016183411077121,NA,NA,7.12%,303.83,303829,NA,122153000
29/04/2020,Maharashtra,128726,Tested,9318,120136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1255371358323773445?s=19,NA,NA,7.24%,324.25,324247,NA,122153000
30/04/2020,Maharashtra,135694,Tested,9915,126376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1255747873758535681?s=19,NA,NA,7.31%,341.8,341798,NA,122153000
01/05/2020,Maharashtra,144159,Tested,10498,134244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1256099194437132288?s=19,NA,NA,7.28%,363.12,363121,NA,122153000
02/05/2020,Maharashtra,151085,Tested,11506,140587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1256463584004943872,NA,NA,7.62%,380.57,380567,NA,122153000
03/05/2020,Maharashtra,159754,Tested,12296,148248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1256823671122915328?s=19,NA,NA,7.70%,402.4,402403,NA,122153000
04/05/2020,Maharashtra,168374,Tested,12974,156078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1257190659062026242?s=19,NA,NA,7.71%,424.12,424116,NA,122153000
05/05/2020,Maharashtra,175323,Tested,14541,162349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1257621289625194496?s=19,NA,NA,8.29%,441.62,441620,NA,122153000
06/05/2020,Maharashtra,181746,Tested,15525,167205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1257913159588777985?s=19,NA,NA,8.54%,457.8,457798,NA,122153000
07/05/2020,Maharashtra,189220,Tested,16758,173838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1258283089316339712?s=19,NA,NA,8.86%,476.62,476625,NA,122153000
08/05/2020,Maharashtra,200477,Tested,17974,183862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1258632735834300416?s=19,NA,NA,8.97%,504.98,504980,NA,122153000
09/05/2020,Maharashtra,210174,Tested,19063,192197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1259002292256116736?s=19,NA,NA,9.07%,529.41,529406,NA,122153000
10/05/2020,Maharashtra,225524,Tested,20228,206481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1259365348148572161?s=19,NA,NA,8.97%,568.07,568071,NA,122153000
11/05/2020,Maharashtra,218914,Tested,23401,193457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://arogya.maharashtra.gov.in/pdf/ncovidepressnotemay11.pdf,NA,NA,10.69%,551.42,551421,NA,122153000
12/05/2020,Maharashtra,222284,Tested,23401,196165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1260090967601770498?s=19,NA,NA,10.53%,559.91,559909,NA,122153000
13/05/2020,Maharashtra,231061,Tested,24427,203536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1260445266064420864,NA,NA,10.57%,582.02,582018,NA,122153000
14/05/2020,Maharashtra,240482,Tested,25922,211082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1260804289620049925?s=19,NA,NA,10.78%,605.75,605748,NA,122153000
15/05/2020,Maharashtra,250898,Tested,27524,219635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1261173248508588032?s=19,NA,NA,10.97%,631.98,631985,NA,122153000
16/05/2020,Maharashtra,261815,Tested,29100,228956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1261532759995998208?s=19,NA,NA,11.11%,659.48,659484,NA,122153000
17/05/2020,Maharashtra,274040,Tested,30706,238476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1261891603557265414?s=19,NA,NA,11.20%,690.28,690277,NA,122153000
18/05/2020,Maharashtra,282437,Tested,33053,245512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1262257004657008640?s=19,NA,NA,11.70%,711.43,711428,NA,122153000
19/05/2020,Maharashtra,294272,Tested,35058,255065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1262627822834552833?s=19,NA,NA,11.91%,741.24,741239,NA,122153000
20/05/2020,Maharashtra,307535,Tested,37136,265872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1262980258887843840?s=19,NA,NA,12.08%,774.65,774647,NA,122153000
21/05/2020,Maharashtra,319921,Tested,39297,276369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1263345679897776130?s=19,NA,NA,12.28%,805.85,805846,NA,122153000
22/05/2020,Maharashtra,333087,Tested,41642,286157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1263704677679390721?s=19,NA,NA,NA,NA,NA,NA,NA
23/05/2020,Maharashtra,348932,Tested,44582,299107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/Maha_MEDD/status/1264074085513846785?s=19,NA,NA,NA,NA,NA,NA,NA
14/04/2020,Manipur,276,Reports Received,2,NA,NA,321,109,Government,212,NA,NA,NA,NA,NA,http://nrhmmanipur.org/wp-content/uploads/2020/03/PHOTO-2020-04-14-21-19-48.jpg,NA,NA,0.72%,0.7,695,NA,3103000
17/04/2020,Manipur,311,Reports Received,2,NA,NA,359,126,Government,233,NA,NA,NA,NA,NA,http://nrhmmanipur.org/wp-content/uploads/2020/03/170420_status.jpg,NA,NA,0.64%,0.78,783,NA,3103000
24/04/2020,Manipur,402,Reports Received,2,NA,NA,391,80,Government,311,NA,NA,NA,NA,NA,http://nrhmmanipur.org/wp-content/uploads/2020/05/status_240420.jpg,NA,NA,0.50%,1.01,1013,NA,3103000
25/04/2020,Manipur,416,Reports Received,2,NA,NA,397,84,Government,313,NA,NA,NA,NA,NA,http://nrhmmanipur.org/wp-content/uploads/2020/05/status_250420.jpg,NA,NA,0.48%,1.05,1048,NA,3103000
30/04/2020,Manipur,459,Reports Received,2,NA,NA,439,84,Government,355,NA,NA,NA,NA,7586,http://nrhmmanipur.org/wp-content/uploads/2020/05/staus_300420.jpg,NA,NA,0.44%,1.16,1156,NA,3103000
01/05/2020,Manipur,461,Reports Received,2,NA,NA,443,77,Government,366,NA,NA,NA,NA,7779,http://nrhmmanipur.org/wp-content/uploads/2020/05/status_010520.jpg,NA,NA,0.43%,1.16,1161,NA,3103000
02/05/2020,Manipur,468,Reports Received,2,NA,NA,536,164,Government,372,NA,NA,NA,NA,8012,http://nrhmmanipur.org/wp-content/uploads/2020/05/status_020520.jpg,NA,NA,0.43%,1.18,1179,NA,3103000
04/05/2020,Manipur,571,Reports Received,2,NA,NA,557,90,Government,467,NA,NA,NA,NA,8575,http://nrhmmanipur.org/wp-content/uploads/2020/05/status_040520.jpg,NA,NA,0.35%,1.44,1438,NA,3103000
07/05/2020,Manipur,684,Reports Received,2,NA,NA,627,107,Government,520,NA,NA,NA,NA,9346,http://nrhmmanipur.org/wp-content/uploads/2020/05/status_070520.jpg,NA,NA,0.29%,1.72,1723,NA,3103000
08/05/2020,Manipur,756,Reports Received,2,NA,NA,627,107,Government,520,NA,NA,NA,NA,9625,http://nrhmmanipur.org/wp-content/uploads/2020/05/status_080520.jpg,NA,NA,0.26%,1.9,1904,NA,3103000
09/05/2020,Manipur,865,Reports Received,2,NA,NA,627,107,Government,520,NA,NA,NA,NA,10051,http://nrhmmanipur.org/wp-content/uploads/2020/05/status_090520.jpg,NA,NA,0.23%,2.18,2179,NA,3103000
10/05/2020,Manipur,1096,Reports Received,2,NA,NA,2018,1134,Government,884,NA,NA,NA,NA,10393,http://nrhmmanipur.org/wp-content/uploads/2020/03/status_10.jpg,NA,NA,0.18%,2.76,2761,NA,3103000
11/05/2020,Manipur,1337,Reports Received,2,NA,NA,2369,1375,Government,994,NA,NA,NA,NA,10705,http://nrhmmanipur.org/wp-content/uploads/2020/05/status_110520.jpg,NA,NA,0.15%,3.37,3368,NA,3103000
