Updated On,State,"RT-PCR Test(Includes TrueNat,CBNAAT,CRISPR)",RAT(Rapid Antigen Test),Other Tests,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Cumulative People In Quarantine,Total People Currently in Quarantine...12,Tag (People in Quarantine),Total People Released From Quarantine,Total People Currently in Quarantine...15,Tag(People in Quarantine),Cumulative People in Home Isolation,Total People Currently in Isolation,Tag(People in Isolation),People released from Home Isolation,"Cases outside Home Isolation i.e Institutional Isolation,Hospital Etc.",Cumulative People in Surveillance,Total People Currently in Surveillance,Tag(People in Surveillance),People released from Surveillance,Cumulative People in Observation,People released from Observation,People on ICU Beds,People on Ventilator,People on O2 Beds,Beds Occupied(Normal/Isolation),Total Num ICU Beds,Total Num Ventilators,Total Num of O2 Beds,Total Num Beds (Normal/Isolation),Total PPE,Total N95 Masks,COVID Enquiry Calls,Number of Containment Zones,Cumulative Number of Symptomatic Cases,Cumulative Number of Asymptomatic Cases,Unknown(Nature of Cases),Tag(Nature of Cases),Male(Confirmed Cases),Female(Confirmed Cases),Transgender(Confirmed Cases),Unknown(Confirmed Cases),Male(Deceased Cases),Female(Deceased Cases),Transgender(Deceased Cases),Unknown(Deceased Cases),Source1,Source2,Source3,Source 4
29/04/2021,Jharkhand,NA,NA,NA,6884431,Tested,227450,6656981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/8135,https://twitter.com/rnuddkranchi/status/1383473370923028484?s=19,NA,NA
30/04/2021,Jharkhand,NA,NA,NA,6921267,Tested,233411,6687856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/8156,https://twitter.com/rnuddkranchi/status/1383473370923028484?s=19,NA,NA
01/05/2021,Jharkhand,NA,NA,NA,6952562,Tested,239734,6712828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/8181,https://twitter.com/rnuddkranchi/status/1383473370923028484?s=19,NA,NA
02/05/2021,Jharkhand,NA,NA,NA,6977983,Tested,244472,6733511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/8197,https://twitter.com/rnuddkranchi/status/1383473370923028484?s=19,NA,NA
03/05/2021,Jharkhand,NA,NA,NA,7029510,Tested,251371,6778139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/8218,https://twitter.com/rnuddkranchi/status/1383473370923028484?s=19,NA,NA
04/05/2021,Jharkhand,NA,NA,NA,7065719,Tested,257345,6808374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/8240,https://twitter.com/rnuddkranchi/status/1383473370923028484?s=19,NA,NA
05/05/2021,Jharkhand,NA,NA,NA,7101205,Tested,263115,6838090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Covid19india_Auxiliary_Test_Data/8267,https://twitter.com/rnuddkranchi/status/1383473370923028484?s=19,NA,NA
06/05/2021,Jharkhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03/04/2020,Karnataka,NA,NA,NA,4587,Tested,128,4281,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://karunadu.karnataka.gov.in/hfw/kannada/nCovDocs/03-04-2020(English).pdf,NA,NA,NA
07/04/2020,Karnataka,NA,NA,NA,6580,Tested,175,5942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,130,NA,1540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://karunadu.karnataka.gov.in/hfw/kannada/nCovDocs/07-04-2020(English).pdf,NA,NA,NA
08/04/2020,Karnataka,NA,NA,NA,6967,Tested,181,6473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://karunadu.karnataka.gov.in/hfw/kannada/nCovDocs/08-04-2020(English).pdf,NA,NA,NA
09/04/2020,Karnataka,NA,NA,NA,7613,Tested,197,7176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://karunadu.karnataka.gov.in/hfw/kannada/nCovDocs/09-04-2020(English).pdf,NA,NA,NA
10/04/2020,Karnataka,NA,NA,NA,7975,Tested,207,7673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://karunadu.karnataka.gov.in/hfw/kannada/nCovDocs/10-04-2020(English).pdf,NA,NA,NA
11/04/2020,Karnataka,NA,NA,NA,8560,Tested,215,8231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://karunadu.karnataka.gov.in/hfw/kannada/nCovDocs/11-04-2020(English).pdf,NA,NA,NA
12/04/2020,Karnataka,NA,NA,NA,9251,Tested,232,8831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://karunadu.karnataka.gov.in/hfw/kannada/nCovDocs/12-04-2020(English).pdf,https://karunadu.karnataka.gov.in/hfw/kannada/Pages/cv-media-bulletin.aspx,NA,NA
13/04/2020,Karnataka,NA,NA,NA,10017,Tested,247,9572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://karunadu.karnataka.gov.in/hfw/kannada/nCovDocs/13-04-2020(English).pdf,NA,NA,NA
14/04/2020,Karnataka,NA,NA,NA,11107,Tested,260,10554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://karunadu.karnataka.gov.in/hfw/kannada/nCovDocs/14-04-2020(English).pdf,NA,NA,NA
15/04/2020,Karnataka,NA,NA,NA,12483,Tested,279,11905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://karunadu.karnataka.gov.in/hfw/kannada/nCovDocs/15-04-2020(English).pdf,NA,NA,NA
16/04/2020,Karnataka,NA,NA,NA,13724,Tested,315,13074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://karunadu.karnataka.gov.in/hfw/kannada/nCovDocs/16-04-2020(English).pdf,NA,NA,NA
17/04/2020,Karnataka,NA,NA,NA,17594,Tested,359,14606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://karunadu.karnataka.gov.in/hfw/kannada/nCovDocs/17-04-2020(English).pdf,NA,NA,NA
18/04/2020,Karnataka,NA,NA,NA,19186,Tested,384,15658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/18-04-2020-05-00PM-English.pdf,NA,NA,NA
19/04/2020,Karnataka,NA,NA,NA,21367,Tested,390,17662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/19-04-2020-05-00-English.pdf,NA,NA,NA
20/04/2020,Karnataka,NA,NA,NA,23460,Tested,408,19497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://karunadu.karnataka.gov.in/hfw/kannada/nCovDocs/20-04-2020(English).pdf,NA,NA,NA
21/04/2020,Karnataka,NA,NA,NA,26233,Tested,418,22222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/21-04-2020-05-00-English.pdf,NA,NA,NA
22/04/2020,Karnataka,NA,NA,NA,29512,Tested,427,25424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/22-04-2020-05-00-English.pdf,NA,NA,NA
23/04/2020,Karnataka,NA,NA,NA,32122,Tested,445,28174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/23-04-2020-05-00-English.pdf,NA,NA,NA
24/04/2020,Karnataka,NA,NA,NA,35958,Tested,474,31914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/24-04-2020-05-00-English.pdf,NA,NA,NA
25/04/2020,Karnataka,NA,NA,NA,39083,Tested,500,34888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/25-04-2020%20-%2005-00%20-%20English.pdf,NA,NA,NA
26/04/2020,Karnataka,NA,NA,NA,42964,Tested,503,38207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/26-04-2020%20-%2005-00%20-%20English.pdf,NA,NA,NA
27/04/2020,Karnataka,NA,NA,NA,45685,Tested,512,43791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/27-04-2020%20-%2005-00%20-%20English.pdf,NA,NA,NA
28/04/2020,Karnataka,NA,NA,NA,50512,Tested,523,48508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/28-04-2020%20-%2005-00%20-%20English.pdf,NA,NA,NA
29/04/2020,Karnataka,NA,NA,NA,55404,Tested,535,53241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/Revised%20-%2029-04-2020%20-%2005-00%20-%20English.pdf,NA,NA,NA
30/04/2020,Karnataka,NA,NA,NA,60156,Tested,565,57548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/30-04-2020%2005-00%20English.pdf,NA,NA,NA
01/05/2020,Karnataka,NA,NA,NA,64898,Tested,589,61855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/01-05-2020%2005-00%20English.pdf,NA,NA,NA
02/05/2020,Karnataka,NA,NA,NA,69730,Tested,601,66475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/02-05-2020%2005-00%20English.pdf,NA,NA,NA
03/05/2020,Karnataka,NA,NA,NA,74898,Tested,614,70998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/03-05-2020%2005-00%20English.pdf,NA,NA,NA
04/05/2020,Karnataka,NA,NA,NA,79193,Tested,651,74664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/04-05-2020%2005-00%20English.pdf,NA,NA,NA
05/05/2020,Karnataka,NA,NA,NA,83806,Tested,673,78860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/05-05-2020%2005-00%20English.pdf,NA,NA,NA
06/05/2020,Karnataka,NA,NA,NA,88777,Tested,693,83056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/06-05-2020%2005-00%20English.pdf,NA,NA,NA
07/05/2020,Karnataka,NA,NA,NA,93535,Tested,705,87756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/07-05-2020%2005-00%20English.pdf,NA,NA,NA
08/05/2020,Karnataka,NA,NA,NA,98081,Tested,753,92237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/08-05-2020%2005-00%20-%20English.pdf,NA,NA,NA
09/05/2020,Karnataka,NA,NA,NA,103098,Tested,794,97326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/09-05-2020%2005-00%20English.pdf,NA,NA,NA
10/05/2020,Karnataka,NA,NA,NA,107311,Tested,848,102266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/10-05-2020%2005-00%20English.pdf,NA,NA,NA
11/05/2020,Karnataka,NA,NA,NA,111595,Tested,862,106467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/11-05-2020%2005-00%20English.pdf,NA,NA,NA
12/05/2020,Karnataka,NA,NA,NA,116533,Tested,925,111264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/12-05-2020%2005-00%20English.pdf,NA,NA,NA
13/05/2020,Karnataka,NA,NA,NA,121178,Tested,959,119420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/13-05-2020%2005-00%20English.pdf,https://t.me/Karnataka_KoViD19_Broadcast/3166,NA,NA
14/05/2020,Karnataka,NA,NA,NA,128373,Tested,987,126766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/14-05-2020%205-00%20English.pdf,NA,NA,NA
15/05/2020,Karnataka,NA,NA,NA,133724,Tested,1056,132074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/15-05-2020%20%2005-00%20English.pdf,https://t.me/indiacovid/4791,NA,NA
16/05/2020,Karnataka,NA,NA,NA,140024,Tested,1092,138216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/16-05-2020%2005-00%20English.pdf,NA,NA,NA
17/05/2020,Karnataka,NA,NA,NA,145398,Tested,1147,143444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/17-05-2020%205-00%20English.pdf,NA,NA,NA
18/05/2020,Karnataka,NA,NA,NA,151663,Tested,1246,149566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/18-05-2020%2005-00%20English.pdf,NA,NA,NA
19/05/2020,Karnataka,NA,NA,NA,158599,Tested,1395,156247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/19-05-2020%2005-00%20English.pdf,https://t.me/indiacovid/5104,NA,NA
20/05/2020,Karnataka,NA,NA,NA,166781,Tested,1462,164199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/20-05-2020%2005-00%20English.pdf,https://t.me/indiacovid/5178,NA,NA
21/05/2020,Karnataka,NA,NA,NA,174297,Tested,1605,171484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/21-05-2020%2005-00%20English.pdf,NA,NA,NA
22/05/2020,Karnataka,NA,NA,NA,186526,Tested,1743,183088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://t.me/Karnataka_KoViD19_Broadcast/3499,NA,NA,NA
23/05/2020,Karnataka,NA,NA,NA,196196,Tested,1959,192127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/23.05.2020%20EMB%20English.pdf,https://t.me/indiacovid/5381,NA,NA
24/05/2020,Karnataka,NA,NA,NA,206313,Tested,2089,201978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/24.05.2020%20EMB%20English.pdf,NA,NA,NA
25/05/2020,Karnataka,NA,NA,NA,219894,Tested,2182,215308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/25.05.2020%20EMB%20English.pdf,NA,NA,NA
26/05/2020,Karnataka,NA,NA,NA,228914,Tested,2283,223477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/26.05.2020%20EMB%20English.pdf,NA,NA,NA
27/05/2020,Karnataka,NA,NA,NA,241608,Tested,2418,235876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://covid19.karnataka.gov.in/storage/pdf-files/Media-Bulletin/27.05.2020%20EMB%20English.pdf,https://t.me/indiacovid/5637,NA,NA
